Data,Preco_Bruto,Residuo_Macro,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,Preco_Limpo,Soma_IMF_6_5,Soma_IMF_6_5_4,Soma_IMF_6_5_4_3,Soma_IMF_6_5_4_3_2,Soma_IMF_6_5_4_3_2_1,Sinal_Direcao,Run_Length,Quebra_Regime
2024-11-18,90464.08,81638.57474674469,-943.0902911295424,-3063.68947051289,2567.7412392627275,2079.2168824847354,2567.6603792961337,5617.666513854144,94470.85976164244,8185.326893150277,10264.543775635011,12832.28501489774,9768.59554438485,8825.505253255309,1,9,0
2024-11-19,92310.79,81755.9595801796,-403.0183869909564,-2433.227358361176,2323.563382263309,2102.297197842224,2949.841780297488,6015.373804769518,95147.03574535211,8965.215585067006,11067.512782909227,13391.076165172535,10957.848806811362,10554.830419820406,1,10,0
2024-11-20,94286.56,81873.226394466,-688.1793502142717,-721.7701130856209,2049.733933625993,2060.32324984684,3304.125097453807,6409.100787907252,95696.50946329988,9713.225885361058,11773.5491352079,13823.28306883389,13101.51295574827,12413.333605534,1,11,0
2024-11-21,98317.12,81990.37368293406,881.864078513205,1360.1172283876963,1699.880964656341,1959.0459780666024,3627.318336228579,6798.519731213503,96075.13869309908,10425.838067442082,12384.884045508685,14084.765010165023,15444.882238552722,16326.746317065928,1,12,0
2024-11-22,98892.0,82107.39993891407,-78.56183143042004,2731.743877148178,1227.6692885792795,1803.873807653577,3916.572016500881,7183.302902634439,96238.81795428225,11099.87491913532,12903.748726788896,14131.418015368175,16863.161892516357,16784.600061085937,1,13,0
2024-11-23,97672.4,82224.30365573616,-1122.9503736549018,2631.349855871771,606.1269997398837,1600.983228349962,4169.464063840693,7563.122570116435,96164.00051778312,11732.586633957128,13333.56986230709,13939.696862046972,16571.046717918744,15448.096344263842,-1,14,0
2024-11-24,97900.04,82341.0833267308,1263.7007162756554,722.5983717961934,-109.91885100158925,1359.9795921109612,4384.945842482549,7937.65100160541,95913.74091192814,12322.59684408796,13682.57643619892,13572.657585197332,14295.255956993526,15558.956673269182,-1,15,0
2024-11-25,93010.01,82457.73744522789,-1133.78227883387,-1445.3251447680664,-828.8946035176125,1090.9704734533211,4562.743643390417,8306.56046504792,95589.11742360191,12869.304108438337,13960.274581891656,13131.379978374043,11686.054833605978,10552.272554772107,-1,16,0
2024-11-26,91965.16,82574.2645045578,-1316.1401716031075,-2014.274419875601,-1454.8807656430297,803.5319789378345,4703.135645236268,8669.523228389844,95295.57459147873,13372.658873626113,14176.190852563945,12721.310086920916,10707.035667045317,9390.895495442208,-1,17,0
2024-11-27,95863.11,82690.66299805079,1113.9508307897152,-380.92679231732,-1900.428837918265,507.117554474696,4806.5226873428965,9026.211559577489,95130.0859615276,13832.734246920383,14339.85180139508,12439.422963476814,12058.496171159495,13172.447001949213,-1,18,0
2024-11-28,95643.98,82806.93141903689,-801.0405158328956,1289.2794069365114,-2112.67222678664,211.8770289796968,4873.307005664229,9376.297882002216,95155.7411088964,14249.604887666446,14461.481916646144,12348.809689859503,13638.089096796017,12837.04858096312,1,19,0
2024-11-29,97460.0,82923.06826084654,537.1896549675826,1497.919489508619,-2052.262930729214,-69.25992980218763,4903.890083681394,9719.455371527269,95424.8908555238,14623.345455208662,14554.085525406475,12501.822594677262,13999.74208418588,14536.931739153462,1,20,0
2024-11-30,96407.99,83039.07201680982,-453.1322180074823,907.960284000362,-1716.6415442639204,-323.2991474314404,4898.672788836998,10055.357820055677,95953.16193400712,14954.030608892674,14630.731461461231,12914.089917197312,13822.050201197677,13368.917983190193,1,21,0
2024-12-01,97185.18,83154.94118025695,568.2530222823154,-24.97815017106618,-1215.1503782020386,-539.6206822294938,4858.057551456216,10383.677456607113,96641.90512788876,15241.73500806333,14702.114325833836,13486.963947631795,13461.985797460731,14030.238819743046,1,22,0
2024-12-02,95840.62,83270.67424451823,-677.7105643833482,-841.3683083052791,-689.2421020380855,-708.2665818571235,4782.454014971444,10704.079297094158,97359.69887268862,15486.533312065603,14778.26673020848,14089.024628170391,13247.656319865117,12569.945755481767,1,23,0
2024-12-03,95849.69,83386.26970292382,-974.1831320132844,-1157.4300331922077,-274.16878224918264,-819.2979357137278,4672.276046378203,11016.224133866392,97981.3031652055,15688.500180244597,14869.202244530868,14595.033462281684,13437.603429089477,12463.420297076193,1,24,0
2024-12-04,98587.32,83501.72604880395,1136.6026409169513,-976.5375138248312,-59.40561464229839,-862.7791158907206,4527.931294915593,11319.782259721354,98427.25487290788,15847.713554636946,14984.934438746226,14925.528824103929,13948.991310279096,15085.593951196048,1,25,0
2024-12-05,96945.63,83617.04177548889,-1145.5833848294103,-621.1229237869076,-38.83376161502709,-830.2258351370122,4349.927281058794,11614.42684882068,98712.33630861632,15964.354129879472,15134.12829474246,15095.294533127431,14474.171609340525,13328.588224511115,1,26,0
2024-12-06,99740.84,83732.21537630873,649.0919799583875,222.44313115837636,-181.18087961525995,-720.8810630776663,4139.320336370981,11899.831118896462,98869.30488888324,16039.151455267442,15318.270392189776,15137.089512574516,15359.532643732891,16008.62462369128,1,27,0
2024-12-07,99831.99,83847.24534459382,-230.97584699808905,1131.5753317353997,-445.07445271705535,-544.455462739912,3898.0049330968704,12175.670153028988,98931.3905152627,16073.675086125855,15529.219623385943,15084.14517066889,16215.720502404289,15984.7446554062,1,28,0
2024-12-08,101109.59,83962.13017367426,1430.6471205823575,729.8442751303714,-764.5013939774913,-318.4931143973953,3628.3364432960793,12441.626495691808,98949.09860428724,16069.962938987886,15751.469824590493,14986.968430613,15716.812705743372,17147.45982632573,1,29,0
2024-12-09,97276.47,84076.86835688031,-1252.814654534186,-511.4716317907776,-1000.7901041763088,-66.55898178017179,3333.8524586943663,12697.384556706764,99040.75628632496,16031.23701540113,15964.678033620958,14963.887929444649,14452.416297653872,13199.601643119686,1,30,0
2024-12-10,96593.0,84191.4583875423,-1616.5979301467444,-1133.3918695555312,-997.920662859544,188.21890801228776,3018.6044211121057,12942.628745895134,99342.98979970228,15961.23316700724,16149.452075019528,15151.531412159984,14018.139542604453,12401.541612457708,1,31,0
2024-12-11,101125.0,84305.89875899018,1627.9373318021828,-456.5362976473545,-642.8617435816524,427.3182603868232,2686.2002169707484,13177.043473079077,99953.59896584516,15863.243690049823,16290.561950436646,15647.700206854994,15191.163909207638,16819.101241009823,1,32,0
2024-12-12,100004.29,84420.18796455444,-788.7793056781911,-20.564251116867982,14.172978176207874,639.077121280923,2339.8662248230826,13400.329267960398,100813.63355679504,15740.19549278348,16379.272614064404,16393.445592240612,16372.881341123744,15584.102035445554,1,33,0
2024-12-13,101424.25,84534.32449756519,-5.304959638767887,-357.6593055588276,844.5633229825419,813.3765642769704,1982.6984743633443,13612.251406009544,101787.2142651976,15594.949880372887,16408.326444649858,17252.8897676324,16895.230462073574,16889.925502434806,1,0,1
2024-12-14,101420.0,84648.30685135271,-1207.4206895199504,11.197688855983252,1597.4503283717706,940.1012725786172,1617.772200802819,13812.592347558057,102616.22300066396,15430.364548360874,16370.465820939491,17967.916149311262,17979.113838167246,16771.693148647297,1,1,0
2024-12-15,104463.99,84762.13351924699,267.47272142452886,1072.0369000439728,2103.913737604241,1009.248348943579,1248.049953554465,14001.134819182233,103124.4803785315,15249.1847727367,16258.433121680278,18362.34685928452,19434.38375932849,19701.85648075302,1,2,0
2024-12-16,106058.66,84875.80299457852,947.473857680426,1925.1942698418488,2245.191509466505,1011.295005445782,876.0408155285536,14177.66154745836,103185.99187247772,15053.702362986916,16064.997368432696,18310.1888778992,20235.38314774105,21182.85700542148,1,3,0
